,ABANY,ABDEFECT,ABNOMORE,ABPOOR,ABRAPE,ABSINGLE,ATTEND,COLCOM,CONFED,CONLABOR,CONPRESS,EQWLTH,FEFAM,GRASS,HELPPOOR,HOMOSEX,LETDIE1,NATARMS,NATENVIR,NATMASS,PARTYID,PRAYER,PREMARSX,PRESLAST_DEMREP,RACDIF4,RELITEN,SEXEDUC,SPANKING,TEENSEX,WRKWAYUP,XMARSEX
1972,,,,,,,,0.038647230302233514,,,,,,-0.010147678642946556,,0.0036836639659633256,,,,,,,0.02063218264510735,0.12404762759194468,,,,,,,0.014711754154751084
1974,,,,,,,,,,,,,,,,0.021293127803533332,,,,,,,0.019724463852406726,0.10059824972243916,,,,,,,
1976,,,,,,,,,,,,,,-0.05880644114278847,,0.01615324665564021,,,,,,,0.0032921768546344166,0.06339122890684344,,,,,,,
1978,,,,,,,,,,,,,,-0.026081448342944256,,,,,,,,,,0.038853760106673886,,,,,,,
1980,,,,,,,,,,,,,,,,,,,,,,,,0.08473928867964117,,,,,,,
1982,,,,,,,,,,,,,,,,,,,,,0.0029532602071365645,,0.008580510497919372,0.09921950621016336,,,,,,,
1984,,,,,,,,,,,,,,,,,,,,,0.03658395045992658,,0.026698730606737026,0.0921329482839478,,,,,,,
1986,,,,,,,,,,,,,,,,0.004419673468934377,,,,,0.03253290431864394,,0.008170805948268595,0.11660148353841294,,,,,,,
1988,,,,-0.003276869619542275,,,,,,,,,,,,0.04085969103266053,,,,,0.03065155322654425,,0.015552784386626342,0.11701560218912493,,,,,,,
1990,,,-0.004931782150872952,,,-0.003672655897625075,,,,,,,,,,0.0760036056904561,,,,,0.04555538258416757,,0.0288685030617851,0.11256876270287926,,,,,,,
1992,-0.005706803141137536,-0.008474169498225605,-0.00577722237614253,-0.0025924591764234345,,,,,,,,,,-0.0017791754084429169,,0.08245720012354753,,,,,0.0642741129322879,,0.02666176923558128,0.17781184461878238,,,,,,,
1994,,-0.0009236782830640933,,-0.007490494732770755,,,,,,,,,0.01084213448946914,,-0.009635787181456358,0.0635438095643556,,-0.008129627876643241,,,0.07095043498385177,,0.03139866940688188,0.17862918801058056,,,,,,,
1996,-0.011796203198450076,,-0.0027879204745504963,-0.010128432065178229,,,,,,,,-0.007137941844959742,0.01839427431585032,,-0.00738653323476027,0.0800905317351727,,-0.01446526833224618,0.013836079314019888,,0.08658480927388024,,0.027801701314021793,0.1575157700468708,,,,,,,
1998,-0.013435145573535139,,-0.0035475166695049095,-0.014895015567167925,,-0.00037308554355241575,,,,,,-0.0023642657092683554,0.004470394429262997,-0.004660741123643826,-0.007436224730732235,0.08122803914553295,,,,,0.06812790354034957,,0.02704499057019337,0.17636261271462866,,,,,,,
2000,-0.003910239757329224,,,-0.01969217665302622,,,,,,,,-0.006611442540159536,0.00273537711795351,-0.00032634225187521456,,0.05857353309078891,-0.004938760965223766,,0.007271890824956515,,0.0660801224677674,,0.034055579174389575,0.17088633132504408,,,,,0.012503737168602454,,
