Start Year,End Year,Number of Nodes,Number of Edges,Non-Zero Weighted Nodes,Non-Zero Edges,Average Degree,Balanced Triads,Unbalanced Triads
1972,1975,65,2080,51,402,7.882352941176471,281,0
1974,1977,75,2775,61,484,7.934426229508197,314,0
1976,1979,77,2926,67,472,7.044776119402985,360,0
1978,1981,70,2415,61,412,6.754098360655738,268,0
1980,1983,80,3160,67,478,7.134328358208955,318,0
1982,1985,85,3570,69,526,7.6231884057971016,356,0
1984,1987,92,4186,71,558,7.859154929577465,371,0
1986,1989,95,4465,72,550,7.638888888888889,337,0
1988,1991,95,4465,70,536,7.6571428571428575,340,0
1990,1993,94,4371,70,524,7.485714285714286,323,0
1992,1995,96,4560,73,594,8.136986301369863,381,0
1994,1997,95,4465,73,578,7.917808219178082,343,0
1996,1999,96,4560,72,586,8.13888888888889,393,0
1998,2001,97,4656,76,604,7.947368421052632,409,0
2000,2003,98,4753,77,584,7.584415584415584,362,0
2002,2005,98,4753,77,610,7.922077922077922,365,0
2004,2007,98,4753,76,622,8.18421052631579,400,0
2006,2009,101,5050,78,666,8.538461538461538,399,0
2008,2011,101,5050,80,704,8.8,509,0
2010,2013,101,5050,77,722,9.376623376623376,479,0
2012,2015,101,5050,78,718,9.205128205128204,514,0
2014,2017,101,5050,76,766,10.078947368421053,589,0
2016,2019,101,5050,79,778,9.848101265822784,610,0
