,Start Year,End Year,Number of Nodes,Number of Edges,Non-Zero Weighted Nodes,Non-Zero Edges,Average Degree,Balanced Triads,Unbalanced Triads,avg_degree_null,avg_strength_null,max_degree_null,max_strength_null
0,1972,1975,65,2080,51,402,7.882352941176471,281,0,6.752307692307691,0.3249140621547329,12.95,0.7446883469447243
1,1974,1977,75,2775,61,484,7.934426229508197,314,0,6.088,0.2719322612892337,12.0,0.6696553826743786
2,1976,1979,77,2926,67,472,7.044776119402985,360,0,5.798701298701298,0.2534029296536817,11.55,0.5982477385424646
3,1978,1981,70,2415,61,412,6.754098360655738,268,0,6.374285714285714,0.29596794292276873,12.5,0.6816225070200549
4,1980,1983,80,3160,67,478,7.134328358208955,318,0,5.6049999999999995,0.24001627282808097,11.4,0.5882202554370298
5,1982,1985,85,3570,69,526,7.623188405797101,356,0,5.331764705882353,0.21676584729379827,10.9,0.5605160368446352
6,1984,1987,92,4186,71,558,7.859154929577465,371,0,5.00108695652174,0.19191289231796654,10.9,0.5218726632811451
7,1986,1989,95,4465,72,550,7.638888888888889,337,0,4.851578947368421,0.18238534838745202,10.65,0.513431886951877
8,1988,1991,95,4465,70,536,7.6571428571428575,340,0,4.703157894736842,0.1741654296022947,10.45,0.5100125104397013
9,1990,1993,94,4371,70,524,7.485714285714286,323,0,4.701063829787236,0.17529271830927093,10.9,0.5023441531825645
10,1992,1995,96,4560,73,594,8.136986301369863,381,0,4.560416666666666,0.16892953873042169,10.35,0.5092558515935506
11,1994,1997,95,4465,73,578,7.917808219178082,343,0,4.702105263157894,0.17529278077261568,10.45,0.501554489000599
12,1996,1999,96,4560,72,586,8.13888888888889,393,0,4.734375000000001,0.17211467430355504,10.5,0.4768973828262625
13,1998,2001,97,4656,76,604,7.947368421052632,409,0,4.585567010309278,0.16887756869450282,10.3,0.4603595466169298
14,2000,2003,98,4753,77,584,7.584415584415584,362,0,4.66530612244898,0.1701692084407197,10.75,0.5057127519325212
15,2002,2005,98,4753,77,610,7.922077922077922,365,0,4.4642857142857135,0.163838128097293,10.45,0.44691953906791104
16,2004,2007,98,4753,76,622,8.18421052631579,400,0,4.573469387755101,0.1661706606024273,10.1,0.4526329754235771
17,2006,2009,101,5050,78,666,8.538461538461538,399,0,4.4386138613861394,0.15845318717944132,9.7,0.45380254379678925
18,2008,2011,101,5050,80,704,8.8,509,0,4.405940594059406,0.15788807284603618,10.3,0.45677389299863114
19,2010,2013,101,5050,77,722,9.376623376623376,479,0,4.284158415841584,0.1526054929818191,9.85,0.43505647005119313
20,2012,2015,101,5050,78,718,9.205128205128204,514,0,4.40891089108911,0.15530840762906434,10.65,0.4715212243012271
21,2014,2017,101,5050,76,766,10.078947368421051,589,0,4.55049504950495,0.16168808475165247,9.85,0.46526517259002675
22,2016,2019,101,5050,79,778,9.848101265822784,610,0,4.406930693069308,0.15921629364436857,9.75,0.4706259372174449
