PARTYID,POLVIEWS,NATSPAC,NATENVIR,NATHEAL,NATCITY,NATCRIME,NATDRUG,NATEDUC,NATRACE,NATARMS,NATAID,NATFARE,SPKATH,COLATH,LIBATH,SPKCOM,COLCOM,LIBCOM,SPKHOMO,COLHOMO,LIBHOMO,CAPPUN,GUNLAW,COURTS,GRASS,ATTEND,RELITEN,POSTLIFE,PRAYER,HELPFUL,FAIR,TRUST,CONBUS,CONCLERG,CONEDUC,CONFED,CONLABOR,CONPRESS,CONMEDIC,CONTV,CONJUDGE,CONSCI,CONLEGIS,CONARMY,GETAHEAD,FEPOL,ABDEFECT,ABNOMORE,ABHLTH,ABPOOR,ABRAPE,ABSINGLE,SEXEDUC,DIVLAW,PREMARSX,XMARSEX,HOMOSEX,PORNLAW,POLABUSE,POLMURDR,POLESCAP,POLATTAK,PRESLAST_NONCONFORM,PRESLAST_DEMREP,SPKRAC,COLRAC,LIBRAC,SPKMIL,COLMIL,LIBMIL,CONFINAN,ABANY,LETDIE1,SUICIDE1,SUICIDE2,NEWS,TVHOURS,FECHLD,FEPRESCH,FEFAM,RACDIF1,RACDIF2,RACDIF3,RACDIF4,POLHITOK,EQWLTH,NATROAD,NATSOC,NATMASS,NATPARK,HELPPOOR,TEENSEX,SPANKING,MARHOMO,AFFRMACT,WRKWAYUP,NATCHLD,NATSCI,SPKMSLM,COLMSLM,LIBMSLM
1,6,0,7,3,5,2,1,4,7,7,0,2,8,13,12,14,13,9,10,15,13,2,0,0,14.0,9,4,1.0,2.0,2.0,2.0,2.0,8,5,9,6,4,4,7,6,7,4,9,15,0,4.0,5,13,3,8,5,7,9.0,1.0,18.0,10,18,7.0,6.0,2.0,1.0,1.0,0.0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,1,4,3,4,2,1,3,8,2,0,1,10,13,15,16,10,13,12,14,12,2,0,0,,9,6,,5.0,,,,7,5,8,6,1,3,7,4,9,5,8,7,0,9.0,7,16,3,9,6,7,10.0,1.0,20.0,8,17,,,,,,0.0,3,6.0,4.0,6.0,9.0,8.0,9.0,8.0,10.0,7.0,14.0,3.0,0.0,0.0,6.0,2.0,15.0,3.0,9.0,3.0,6.0,,,,,,,,,,,,,,,,,
1,4,1,5,4,4,2,2,3,5,2,1,2,9,12,13,13,10,8,10,13,12,1,0,0,19.0,11,11,1.0,,2.0,2.0,2.0,6,6,8,7,2,3,8,6,9,5,10,7,0,11.0,7,14,2,12,6,10,,0.0,22.0,7,19,11.0,1.0,1.0,2.0,2.0,0.0,2,6.0,4.0,6.0,7.0,6.0,7.0,8.0,8.0,7.0,15.0,4.0,0.0,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,
1,2,6,4,5,5,2,2,4,5,0,1,2,9,10,14,10,7,14,9,10,14,0,0,0,12.0,12,8,1.0,,2.0,2.0,3.0,6,6,8,7,4,5,7,3,9,7,7,9,0,,6,12,2,11,5,10,,,,10,13,15.0,1.0,1.0,2.0,2.0,,4,7.0,5.0,7.0,7.0,6.0,8.0,9.0,11.0,,,,,0.0,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,
2,1,5,4,5,6,2,1,4,9,1,0,4,9,11,14,6,8,9,8,12,14,2,0,0,11.0,14,6,1.0,5.0,2.0,2.0,3.0,6,6,8,6,4,5,7,7,9,6,7,8,0,1.0,8,14,2,10,7,11,4.0,0.0,17.0,7,16,13.0,1.0,1.0,2.0,2.0,0.0,8,8.0,5.0,6.0,7.0,7.0,6.0,9.0,11.0,8.0,19.0,3.0,0.0,1.0,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,
5,3,7,4,6,5,2,1,4,7,2,0,4,10,11,14,9,8,12,8,12,12,2,0,0,13.0,14,7,1.0,5.0,2.0,2.0,2.0,7,5,8,7,5,4,7,7,8,5,7,7,0,1.0,10,17,2,10,9,11,6.0,0.0,18.0,8,18,13.0,1.0,1.0,2.0,2.0,0.0,10,5.0,5.0,6.0,6.0,8.0,9.0,9.0,13.0,8.0,20.0,2.0,0.0,1.0,,,,,,,,2.0,7.0,0.0,6.0,0.0,1.0,8.0,,,,,,,,,,
4,3,2,2,6,1,1,3,4,11,2,0,5,10,13,12,11,9,13,10,15,17,2,0,0,10.0,14,4,1.0,8.0,2.0,2.0,2.0,6,3,8,7,3,4,6,3,8,6,10,6,0,2.0,11,15,3,9,8,11,8.0,0.0,19.0,9,17,10.0,1.0,1.0,2.0,2.0,0.0,10,6.0,4.0,6.0,8.0,7.0,9.0,8.0,14.0,7.0,18.0,3.0,0.0,1.0,3.0,2.0,15.0,3.0,8.0,3.0,8.0,2.0,4.0,0.0,5.0,0.0,1.0,6.0,,,,,,,,,,
3,4,1,2,4,1,1,3,2,11,2,0,3,9,12,13,7,9,7,10,16,12,2,0,0,8.0,15,6,2.0,10.0,2.0,2.0,2.0,6,3,8,7,3,4,7,4,8,5,8,6,0,6.0,11,16,6,11,8,12,8.0,0.0,20.0,5,20,10.0,2.0,1.0,2.0,2.0,0.0,9,5.0,4.0,6.0,8.0,7.0,8.0,8.0,11.0,9.0,17.0,2.0,0.0,1.0,3.0,2.0,16.0,3.0,2.0,3.0,5.0,2.0,3.0,0.0,1.0,1.0,1.0,4.0,7.0,0.0,12.0,,,,,,,
2,5,2,2,1,1,1,2,2,9,2,0,3,8,10,13,11,7,8,9,14,11,1,0,0,7.0,15,6,2.0,10.0,2.0,3.0,2.0,6,4,6,7,2,5,10,5,7,4,10,4,0,5.0,11,15,3,12,9,13,6.0,0.0,17.0,4,22,14.0,1.0,1.0,2.0,2.0,0.0,10,5.0,4.0,6.0,7.0,7.0,6.0,5.0,13.0,7.0,13.0,5.0,1.0,1.0,3.0,2.0,16.0,4.0,3.0,3.0,5.0,2.0,3.0,0.0,2.0,0.0,0.0,4.0,8.0,0.0,13.0,,,,,,,
4,6,1,3,3,1,1,3,4,9,3,0,2,8,13,10,10,5,10,9,10,10,1,0,0,5.0,14,4,1.0,8.0,2.0,3.0,2.0,7,4,6,8,3,6,11,3,8,5,9,7,0,4.0,11,10,2,9,11,14,5.0,0.0,20.0,3,22,16.0,1.0,1.0,2.0,2.0,0.0,9,5.0,4.0,6.0,6.0,7.0,7.0,5.0,12.0,7.0,14.0,5.0,1.0,0.0,2.0,2.0,17.0,5.0,3.0,3.0,5.0,2.0,5.0,0.0,2.0,0.0,0.0,5.0,9.0,1.0,,,,,,,,
4,9,0,6,7,3,2,5,4,13,3,0,3,7,11,12,10,7,10,9,12,12,2,0,0,10.0,13,6,0.0,10.0,2.0,2.0,2.0,6,6,8,6,3,5,5,3,7,5,8,7,0,2.0,12,13,3,12,11,10,10.0,0.0,22.0,3,24,17.0,1.0,1.0,2.0,2.0,0.0,12,6.0,4.0,6.0,7.0,6.0,9.0,7.0,14.0,9.0,16.0,5.0,0.0,0.0,3.0,2.0,17.0,8.0,5.0,4.0,6.0,2.0,7.0,0.0,3.0,0.0,1.0,8.0,6.0,1.0,,3.0,7.0,,,,,
6,9,0,7,7,4,2,5,4,14,3,0,4,6,10,10,11,7,9,9,10,10,4,0,0,5.0,12,4,0.0,4.0,2.0,2.0,2.0,5,7,8,6,3,7,5,5,8,3,8,7,0,1.0,13,12,2,11,12,7,7.0,0.0,19.0,4,25,13.0,1.0,1.0,2.0,2.0,,16,6.0,4.0,6.0,7.0,7.0,11.0,9.0,11.0,8.0,13.0,4.0,0.0,0.0,2.0,3.0,17.0,8.0,4.0,4.0,11.0,2.0,6.0,0.0,2.0,0.0,1.0,9.0,7.0,1.0,,6.0,7.0,,,,,
5,12,1,7,6,2,1,4,3,15,3,0,4,8,10,13,10,6,8,11,11,12,2,0,0,10.0,12,4,0.0,6.0,2.0,2.0,2.0,6,7,9,6,3,7,6,5,8,5,7,7,0,2.0,10,13,3,12,11,10,7.0,0.0,19.0,5,26,12.0,1.0,1.0,2.0,2.0,0.0,11,6.0,4.0,6.0,8.0,7.0,6.0,10.0,11.0,10.0,16.0,6.0,0.0,0.0,2.0,3.0,16.0,5.0,1.0,4.0,8.0,2.0,7.0,0.0,2.0,0.0,1.0,8.0,8.0,1.0,,5.0,8.0,,,,,
3,12,1,5,5,2,1,4,6,13,1,0,5,8,12,11,11,5,9,9,9,11,2,0,0,9.0,11,8,1.0,12.0,2.0,2.0,2.0,6,7,7,6,5,5,6,1,7,5,9,5,0,1.0,10,12,4,11,10,12,7.0,0.0,21.0,5,27,15.0,1.0,1.0,2.0,2.0,0.0,15,5.0,4.0,6.0,8.0,9.0,6.0,8.0,14.0,10.0,19.0,6.0,0.0,0.0,3.0,2.0,16.0,7.0,1.0,4.0,8.0,2.0,7.0,0.0,2.0,0.0,2.0,7.0,8.0,1.0,,7.0,6.0,9.0,,,,
5,12,1,7,5,1,1,3,4,12,3,0,5,8,9,9,11,5,9,9,7,9,3,1,0,10.0,13,8,2.0,8.0,2.0,2.0,2.0,6,7,5,5,4,3,7,2,7,4,10,6,0,2.0,11,13,3,11,10,12,7.0,0.0,17.0,3,24,14.0,1.0,1.0,2.0,2.0,0.0,15,5.0,4.0,6.0,8.0,7.0,8.0,6.0,14.0,13.0,17.0,5.0,0.0,1.0,2.0,2.0,13.0,6.0,1.0,4.0,5.0,3.0,8.0,0.0,3.0,0.0,2.0,6.0,7.0,2.0,,7.0,9.0,9.0,1.0,,,
7,13,2,5,4,1,1,3,6,13,5,1,6,7,11,9,9,6,8,9,7,8,4,0,0,10.0,14,7,1.0,10.0,2.0,2.0,2.0,6,5,5,10,3,4,6,2,8,4,9,7,0,1.0,11,14,3,15,12,13,7.0,0.0,17.0,7,25,13.0,1.0,2.0,3.0,4.0,0.0,19,7.0,4.0,7.0,7.0,6.0,7.0,6.0,12.0,10.0,15.0,6.0,0.0,1.0,2.0,2.0,12.0,7.0,1.0,4.0,6.0,4.0,9.0,0.0,5.0,0.0,1.0,7.0,6.0,1.0,,6.0,11.0,8.0,1.0,,,
8,15,2,4,6,3,1,5,5,14,3,0,6,7,9,11,13,8,8,9,9,9,5,0,0,8.0,15,8,2.0,10.0,2.0,2.0,2.0,6,6,7,10,3,4,6,1,8,7,8,7,0,2.0,12,14,5,10,12,13,3.0,0.0,19.0,5,28,11.0,1.0,2.0,2.0,3.0,0.0,19,6.0,4.0,6.0,8.0,6.0,6.0,6.0,14.0,9.0,18.0,6.0,0.0,0.0,2.0,2.0,12.0,7.0,1.0,4.0,5.0,5.0,7.0,0.0,3.0,0.0,1.0,9.0,7.0,1.0,,7.0,8.0,8.0,1.0,,,
6,14,3,5,6,3,1,4,5,15,3,1,6,7,10,10,14,7,9,8,8,11,5,0,0,11.0,15,8,2.0,6.0,2.0,2.0,3.0,5,7,6,9,3,3,7,2,8,5,8,6,0,4.0,10,15,4,14,12,13,4.0,0.0,17.0,3,28,11.0,1.0,2.0,2.0,3.0,0.0,20,6.0,5.0,8.0,8.0,8.0,7.0,7.0,16.0,10.0,15.0,6.0,0.0,0.0,2.0,2.0,15.0,5.0,1.0,4.0,5.0,6.0,5.0,0.0,3.0,1.0,1.0,7.0,7.0,1.0,,5.0,7.0,8.0,1.0,17.0,10.0,15.0
